IdProducto;IdMarca;IdPresentacion;Fecha;Cantidad
1;1;1;2009-01-01;157
1;1;2;2009-01-01;66
1;1;1;2009-02-01;133
1;1;2;2009-02-01;113
1;1;1;2009-03-01;175
1;1;2;2009-03-01;69
1;1;1;2009-04-01;102
1;1;2;2009-04-01;99
1;1;1;2009-05-01;156
1;1;2;2009-05-01;79
1;1;1;2009-06-01;126
1;1;2;2009-06-01;53
1;1;1;2009-07-01;82
1;1;2;2009-07-01;123
1;1;1;2009-08-01;58
1;1;2;2009-08-01;135
1;1;1;2009-09-01;47
1;1;2;2009-09-01;64
1;1;1;2009-10-01;56
1;1;2;2009-10-01;135
1;1;1;2009-11-01;80
1;1;2;2009-11-01;108
1;1;1;2009-12-01;101
1;1;2;2009-12-01;207
1;1;1;2010-01-01;100
1;1;2;2010-01-01;145
1;1;1;2010-02-01;105
1;1;2;2010-02-01;54
1;1;1;2010-03-01;78
1;1;2;2010-03-01;65
1;1;1;2010-04-01;136
1;1;2;2010-04-01;79
1;1;1;2010-05-01;110
1;1;2;2010-05-01;122
1;1;1;2010-06-01;68
1;1;2;2010-06-01;102
1;1;1;2010-07-01;84
1;1;2;2010-07-01;133
1;1;1;2010-08-01;55
1;1;2;2010-08-01;149
1;1;1;2010-09-01;65
1;1;2;2010-09-01;40
1;1;1;2010-10-01;140
1;1;2;2010-10-01;110
1;1;1;2010-11-01;49
1;1;2;2010-11-01;144
1;1;1;2010-12-01;59
1;1;2;2010-12-01;126
1;1;1;2011-01-01;85
1;1;2;2011-01-01;119
1;1;1;2011-02-01;92
1;1;2;2011-02-01;127
1;1;1;2011-03-01;57
1;1;2;2011-03-01;107
1;1;1;2011-04-01;126
1;1;2;2011-04-01;77
1;1;1;2011-05-01;125
1;1;2;2011-05-01;48
1;1;1;2011-06-01;57
1;1;2;2011-06-01;63
1;1;1;2011-07-01;73
1;1;2;2011-07-01;54
1;1;1;2011-08-01;137
1;1;2;2011-08-01;111
1;1;1;2011-09-01;70
1;1;2;2011-09-01;93
1;1;1;2011-10-01;64
1;1;2;2011-10-01;64
1;1;1;2011-11-01;128
1;1;2;2011-11-01;125
1;1;1;2011-12-01;126
1;1;2;2011-12-01;140
1;1;1;2012-01-01;125
1;1;2;2012-01-01;126
1;1;1;2012-02-01;105
1;1;2;2012-02-01;92
1;1;1;2012-03-01;82
1;1;2;2012-03-01;61
1;1;1;2012-04-01;106
1;1;2;2012-04-01;131
1;1;1;2012-05-01;113
1;1;2;2012-05-01;136
1;1;1;2012-06-01;74
1;1;2;2012-06-01;123
1;1;1;2012-07-01;89
1;1;2;2012-07-01;123
1;1;1;2012-08-01;121
1;1;2;2012-08-01;62
1;1;1;2012-09-01;68
1;1;2;2012-09-01;63
1;1;1;2012-10-01;106
1;1;2;2012-10-01;107
1;1;1;2012-11-01;88
1;1;2;2012-11-01;56
1;1;1;2012-12-01;178
1;1;2;2012-12-01;137
1;1;1;2013-01-01;67
1;1;2;2013-01-01;136
1;1;1;2013-02-01;135
1;1;2;2013-02-01;71
1;1;1;2013-03-01;127
1;1;2;2013-03-01;137
1;1;1;2013-04-01;123
1;1;2;2013-04-01;59
1;1;1;2013-05-01;67
1;1;2;2013-05-01;107
1;1;1;2013-06-01;72
1;1;2;2013-06-01;103
1;1;1;2013-07-01;48
1;1;2;2013-07-01;111
1;1;1;2013-08-01;53
1;1;2;2013-08-01;94
1;1;1;2013-09-01;38
1;1;2;2013-09-01;85
1;1;1;2013-10-01;56
1;1;2;2013-10-01;144
1;1;1;2013-11-01;157
1;1;2;2013-11-01;105
1;1;1;2013-12-01;125
1;1;2;2013-12-01;68
1;1;1;2014-01-01;131
1;1;2;2014-01-01;107
1;1;1;2014-02-01;114
1;1;2;2014-02-01;140
1;1;1;2014-03-01;60
1;1;2;2014-03-01;114
1;1;1;2014-04-01;147
1;1;2;2014-04-01;68
1;1;1;2014-05-01;65
1;1;2;2014-05-01;69
1;1;1;2014-06-01;102
1;1;2;2014-06-01;102
1;1;1;2014-07-01;52
1;1;2;2014-07-01;115
1;1;1;2014-08-01;108
1;1;2;2014-08-01;146
1;1;1;2014-09-01;91
1;1;2;2014-09-01;59
1;1;1;2014-10-01;106
1;1;2;2014-10-01;119
1;1;1;2014-11-01;123
1;1;2;2014-11-01;143
1;1;1;2014-12-01;70
1;1;2;2014-12-01;150
1;1;1;2015-01-01;176
1;1;2;2015-01-01;107
1;1;1;2015-02-01;114
1;1;2;2015-02-01;92
1;1;1;2015-03-01;114
1;1;2;2015-03-01;98
1;1;1;2015-04-01;147
1;1;2;2015-04-01;87
1;1;1;2015-05-01;156
1;1;2;2015-05-01;64
1;1;1;2015-06-01;97
1;1;2;2015-06-01;69
1;1;1;2015-07-01;94
1;1;2;2015-07-01;96
1;1;1;2015-08-01;155
1;1;2;2015-08-01;97
1;1;1;2015-09-01;80
1;1;2;2015-09-01;90
1;1;1;2015-10-01;91
1;1;2;2015-10-01;97
1;1;1;2015-11-01;151
1;1;2;2015-11-01;119
1;1;1;2015-12-01;137
1;1;2;2015-12-01;140
1;1;1;2016-01-01;103
1;1;2;2016-01-01;87
1;1;1;2016-02-01;123
1;1;2;2016-02-01;115
1;1;1;2016-03-01;57
1;1;2;2016-03-01;119
1;1;1;2016-04-01;98
1;1;2;2016-04-01;95
1;1;1;2016-05-01;122
1;1;2;2016-05-01;114
1;1;1;2016-06-01;148
1;1;2;2016-06-01;118
1;1;1;2016-07-01;76
1;1;2;2016-07-01;89
1;1;1;2016-08-01;71
1;1;2;2016-08-01;109
1;1;1;2016-09-01;75
1;1;2;2016-09-01;45
1;1;1;2016-10-01;141
1;1;2;2016-10-01;125
1;1;1;2016-11-01;137
1;1;2;2016-11-01;103
1;1;1;2016-12-01;146
1;1;2;2016-12-01;88
1;1;1;2017-01-01;94
1;1;2;2017-01-01;148
1;1;1;2017-02-01;120
1;1;2;2017-02-01;90
1;1;1;2017-03-01;155
1;1;2;2017-03-01;110
1;1;1;2017-04-01;89
1;1;2;2017-04-01;129
1;1;1;2017-05-01;100
1;1;2;2017-05-01;114
1;1;1;2017-06-01;95
1;1;2;2017-06-01;98
1;1;1;2017-07-01;84
1;1;2;2017-07-01;53
1;1;1;2017-08-01;122
1;1;2;2017-08-01;107
1;1;1;2017-09-01;69
1;1;2;2017-09-01;75
1;1;1;2017-10-01;150
1;1;2;2017-10-01;65
1;1;1;2017-11-01;130
1;1;2;2017-11-01;105
1;1;1;2017-12-01;172
1;1;2;2017-12-01;109
1;1;1;2018-01-01;129
1;1;2;2018-01-01;69
1;1;1;2018-02-01;112
1;1;2;2018-02-01;120
1;1;1;2018-03-01;69
1;1;2;2018-03-01;76
1;1;1;2018-04-01;97
1;1;2;2018-04-01;118
1;1;1;2018-05-01;51
1;1;2;2018-05-01;67
1;1;1;2018-06-01;67
1;1;2;2018-06-01;140
1;1;1;2018-07-01;74
1;1;2;2018-07-01;66
1;1;1;2018-08-01;111
1;1;2;2018-08-01;59
1;1;1;2018-09-01;68
1;1;2;2018-09-01;84
1;1;1;2018-10-01;99
